name	anio_movi	mes_movi	n	acum
México	2022	11	101	7557
Chile	2022	11	67	5058
Brasil	2022	11	87	4694
España	2022	11	79	4637
Argentina	2022	11	62	3020
Costa Rica	2022	11	30	2463
Colombia	2022	12	232	36903
Perú	2022	12	116	28028
Estados Unidos de América	2022	12	168	19919
Panamá	2022	12	57	13244
México	2022	12	45	7602
Chile	2022	12	45	5103
Brasil	2022	12	21	4715
España	2022	12	45	4682
Argentina	2022	12	11	3031
Costa Rica	2022	12	15	2478
